wrapperType	artistType	artistName	artistLinkUrl	artistId	amgArtistId	primaryGenreName	primaryGenreId	collectionType	collectionId	collectionName	collectionCensoredName	artistViewUrl	collectionViewUrl	artworkUrl60	artworkUrl100	collectionPrice	collectionExplicitness	trackCount	copyright	country	currency	releaseDate
artist	Artist	Louis Armstrong	https://music.apple.com/us/artist/louis-armstrong/518462?uo=4	518462	52456	Jazz	11.0															
collection		Louis Armstrong		518462	52456	Pop		Album	1434914801.0	All Time Greatest Hits	All Time Greatest Hits	https://music.apple.com/us/artist/louis-armstrong/518462?uo=4	https://music.apple.com/us/album/all-time-greatest-hits/1434914801?uo=4	https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/3f/78/d3/3f78d30d-1c44-4c8f-9481-a31430f525df/06UMGIM02666.rgb.jpg/60x60bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/3f/78/d3/3f78d30d-1c44-4c8f-9481-a31430f525df/06UMGIM02666.rgb.jpg/100x100bb.jpg	10.99	notExplicit	18.0	A Geffen Records Release; This Compilation ℗ 1994 UMG Recordings, Inc.	USA	USD	1994-01-01T08:00:00Z
collection		Louis Armstrong		518462	52456	Jazz		Album	193896088.0	The Essential Louis Armstrong	The Essential Louis Armstrong	https://music.apple.com/us/artist/louis-armstrong/518462?uo=4	https://music.apple.com/us/album/the-essential-louis-armstrong/193896088?uo=4	https://is1-ssl.mzstatic.com/image/thumb/Music/c1/d1/00/mzi.scvunyuo.jpg/60x60bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music/c1/d1/00/mzi.scvunyuo.jpg/100x100bb.jpg	14.99	notExplicit	37.0	℗ Recorded Prior To 1972. All Rights Reserved by BMG Music, Originally Released 1925-1931, 1954, 1955, 1957, 2004 Sony Music Entertainment Inc.	USA	USD	1979-12-28T08:00:00Z
collection		Ella Fitzgerald & Louis Armstrong		73568	6503	Holiday		Album	1445666702.0	Ella & Louis Christmas	Ella & Louis Christmas	https://music.apple.com/us/artist/ella-fitzgerald/73568?uo=4	https://music.apple.com/us/album/ella-louis-christmas/1445666702?uo=4	https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/16/a2/75/16a27533-9fc4-843b-c8d3-d81a377a2395/16UMGIM78399.rgb.jpg/60x60bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/16/a2/75/16a27533-9fc4-843b-c8d3-d81a377a2395/16UMGIM78399.rgb.jpg/100x100bb.jpg	9.99	notExplicit	20.0	This Compilation ℗ 2016 The Verve Music Group, a Division of UMG Recordings, Inc.	USA	USD	2016-11-25T08:00:00Z
collection		Louis Armstrong		518462	52456	Jazz		Album	201274363.0	The Best of the Hot 5 & Hot 7 Recordings	The Best of the Hot 5 & Hot 7 Recordings	https://music.apple.com/us/artist/louis-armstrong/518462?uo=4	https://music.apple.com/us/album/the-best-of-the-hot-5-hot-7-recordings/201274363?uo=4	https://is1-ssl.mzstatic.com/image/thumb/Music/54/10/9d/mzi.tzqujtgu.jpg/60x60bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music/54/10/9d/mzi.tzqujtgu.jpg/100x100bb.jpg	9.99	notExplicit	18.0	℗ Originally Released 1926, 1927, 1928, 1929, 1940, (P) 2002 Sony Music Entertainment Inc.	USA	USD	2002-07-30T07:00:00Z
collection		Ella Fitzgerald & Louis Armstrong		73568	6503	Jazz		Album	1431066643.0	The Best Of Ella Fitzgerald And Louis Armstrong On Verve	The Best Of Ella Fitzgerald And Louis Armstrong On Verve	https://music.apple.com/us/artist/ella-fitzgerald/73568?uo=4	https://music.apple.com/us/album/the-best-of-ella-fitzgerald-and-louis-armstrong-on-verve/1431066643?uo=4	https://is1-ssl.mzstatic.com/image/thumb/Music112/v4/ad/b2/88/adb2880e-3aba-9537-7437-21f224c9a659/06UMGIM06164.rgb.jpg/60x60bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music112/v4/ad/b2/88/adb2880e-3aba-9537-7437-21f224c9a659/06UMGIM06164.rgb.jpg/100x100bb.jpg	9.99	notExplicit	15.0	A Verve Label Group release; This Compilation ℗ 1997 UMG Recordings, Inc.	USA	USD	1997-08-20T07:00:00Z
collection		Louis Armstrong		518462	52456	Jazz		Album	1425235202.0	20th Century Masters: The Best of Louis Armstrong - The Millennium Collection	20th Century Masters: The Best of Louis Armstrong - The Millennium Collection	https://music.apple.com/us/artist/louis-armstrong/518462?uo=4	https://music.apple.com/us/album/20th-century-masters-the-best-of-louis/1425235202?uo=4	https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/63/32/48/63324851-4d3e-834d-4702-f3c727ea3926/06UMGIM02669.rgb.jpg/60x60bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/63/32/48/63324851-4d3e-834d-4702-f3c727ea3926/06UMGIM02669.rgb.jpg/100x100bb.jpg	8.99	notExplicit	10.0	A Geffen Records Release; This Compilation ℗ 1999 UMG Recordings, Inc.	USA	USD	1999-03-16T08:00:00Z
collection		Ella Fitzgerald & Louis Armstrong		73568	6503	Jazz		Album	1469584174.0	Ella and Louis	Ella and Louis	https://music.apple.com/us/artist/ella-fitzgerald/73568?uo=4	https://music.apple.com/us/album/ella-and-louis/1469584174?uo=4	https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/ac/4b/53/ac4b5314-43aa-666b-43b2-845117e9c402/06UMGIM08714.rgb.jpg/60x60bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/ac/4b/53/ac4b5314-43aa-666b-43b2-845117e9c402/06UMGIM08714.rgb.jpg/100x100bb.jpg	9.99	notExplicit	11.0	℗ 2011 UMG Recordings, Inc.	USA	USD	1956-01-01T08:00:00Z
collection		Louis Armstrong & Duke Ellington		518462	52456	Jazz		Album	696523069.0	The Great Summit: The Master Tapes (Remastered)	The Great Summit: The Master Tapes (Remastered)	https://music.apple.com/us/artist/louis-armstrong/518462?uo=4	https://music.apple.com/us/album/the-great-summit-the-master-tapes-remastered/696523069?uo=4	https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/a7/43/0c/a7430c58-f4c6-36ff-8559-ead584472f55/0724352454754_1772x1772_300dpi.jpg/60x60bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/a7/43/0c/a7430c58-f4c6-36ff-8559-ead584472f55/0724352454754_1772x1772_300dpi.jpg/100x100bb.jpg	9.99	notExplicit	17.0	℗ 2000 Parlophone Records Ltd, a Warner Music Group Company	USA	USD	1961-06-01T07:00:00Z
collection		Louis Armstrong		518462	52456	Jazz		Album	1440787250.0	What a Wonderful World	What a Wonderful World	https://music.apple.com/us/artist/louis-armstrong/518462?uo=4	https://music.apple.com/us/album/what-a-wonderful-world/1440787250?uo=4	https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/14/14/ef/1414ef36-705a-4483-d7fc-ca636f2cb137/12UMGIM11012.rgb.jpg/60x60bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/14/14/ef/1414ef36-705a-4483-d7fc-ca636f2cb137/12UMGIM11012.rgb.jpg/100x100bb.jpg	9.99	notExplicit	11.0	This Compilation ℗ 1968 The Verve Music Group, a Division of UMG Recordings, Inc.	USA	USD	1968-01-01T08:00:00Z
collection		Louis Armstrong and His All-Stars		518462	52456	Jazz		Album	158691605.0	Louis Armstrong Plays W.C. Handy	Louis Armstrong Plays W.C. Handy	https://music.apple.com/us/artist/louis-armstrong/518462?uo=4	https://music.apple.com/us/album/louis-armstrong-plays-w-c-handy/158691605?uo=4	https://is1-ssl.mzstatic.com/image/thumb/Music/b5/5f/98/mzi.rrovafso.jpg/60x60bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music/b5/5f/98/mzi.rrovafso.jpg/100x100bb.jpg	9.99	notExplicit	16.0	℗ Originally Released 1954 Sony Music Entertainment Inc.	USA	USD	1954-06-01T07:00:00Z
collection		Louis Armstrong		518462	52456	Holiday		Album	1644157235.0	Louis Wishes You a Cool Yule	Louis Wishes You a Cool Yule	https://music.apple.com/us/artist/louis-armstrong/518462?uo=4	https://music.apple.com/us/album/louis-wishes-you-a-cool-yule/1644157235?uo=4	https://is1-ssl.mzstatic.com/image/thumb/Music122/v4/2a/af/6d/2aaf6db6-1757-9599-97c1-8b0708980d48/22UM1IM00901.rgb.jpg/60x60bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music122/v4/2a/af/6d/2aaf6db6-1757-9599-97c1-8b0708980d48/22UM1IM00901.rgb.jpg/100x100bb.jpg	11.99	notExplicit	11.0	A Verve Records release; This Compilation ℗ 2022 Verve Label Group, a Division of UMG Recordings, Inc.	USA	USD	2022-10-28T07:00:00Z
collection		Ella Fitzgerald & Louis Armstrong		73568	6503	Jazz		Album	1454734940.0	Ella & Louis for Lovers	Ella & Louis for Lovers	https://music.apple.com/us/artist/ella-fitzgerald/73568?uo=4	https://music.apple.com/us/album/ella-louis-for-lovers/1454734940?uo=4	https://is1-ssl.mzstatic.com/image/thumb/Music112/v4/0b/a1/97/0ba1976d-d023-48d1-287e-52b104208a10/06UMGIM19694.rgb.jpg/60x60bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music112/v4/0b/a1/97/0ba1976d-d023-48d1-287e-52b104208a10/06UMGIM19694.rgb.jpg/100x100bb.jpg	9.99	notExplicit	11.0	A Verve Label Group Release; This Compilation ℗ 2005 UMG Recordings, Inc.	USA	USD	2005-06-14T07:00:00Z
collection		Louis Armstrong, Tyree Glenn & Tommy Gwaltney		518462	52456	Jazz		Album	516685592.0	Satchmo at the National Press Club - Red Beans and Rice-Ly Yours (Live)	Satchmo at the National Press Club - Red Beans and Rice-Ly Yours (Live)	https://music.apple.com/us/artist/louis-armstrong/518462?uo=4	https://music.apple.com/us/album/satchmo-at-the-national-press-club-red-beans-and-rice/516685592?uo=4	https://is1-ssl.mzstatic.com/image/thumb/Features/v4/c0/fc/f0/c0fcf050-bed0-250e-78b5-6d87de61bdce/V4HttpAssetRepositoryClient-ticket.dxmvauto.jpg-5442672848831280882.jpg/60x60bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Features/v4/c0/fc/f0/c0fcf050-bed0-250e-78b5-6d87de61bdce/V4HttpAssetRepositoryClient-ticket.dxmvauto.jpg-5442672848831280882.jpg/100x100bb.jpg	9.99	notExplicit	11.0		USA	USD	1971-01-29T08:00:00Z
collection		Louis Armstrong		518462	52456	Jazz		Album	1440749171.0	Disney Songs the Satchmo Way	Disney Songs the Satchmo Way	https://music.apple.com/us/artist/louis-armstrong/518462?uo=4	https://music.apple.com/us/album/disney-songs-the-satchmo-way/1440749171?uo=4	https://is1-ssl.mzstatic.com/image/thumb/Music128/v4/05/5f/61/055f6156-cef6-d68b-b4b7-71cbfda87427/00050086092079.rgb.jpg/60x60bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music128/v4/05/5f/61/055f6156-cef6-d68b-b4b7-71cbfda87427/00050086092079.rgb.jpg/100x100bb.jpg	6.99	notExplicit	10.0	℗ 1996 Buena Vista Pictures Distribution, Inc.	USA	USD	1968-03-01T00:00:00Z
collection		Louis Armstrong & Ella Fitzgerald		73568	6503	Jazz		Album	1425244065.0	Porgy and Bess	Porgy and Bess	https://music.apple.com/us/artist/ella-fitzgerald/73568?uo=4	https://music.apple.com/us/album/porgy-and-bess/1425244065?uo=4	https://is1-ssl.mzstatic.com/image/thumb/Music122/v4/c5/43/8a/c5438ab2-d677-e715-c10d-8fb72de2cd74/06UMGIM15223.rgb.jpg/60x60bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music122/v4/c5/43/8a/c5438ab2-d677-e715-c10d-8fb72de2cd74/06UMGIM15223.rgb.jpg/100x100bb.jpg	9.99	notExplicit	15.0	A Verve Label Group release; ℗ 1958 UMG Recordings, Inc.	USA	USD	1958-04-01T08:00:00Z
collection		Ella Fitzgerald & Louis Armstrong		73568	6503	Jazz		Album	1359340014.0	Cheek To Cheek: The Complete Duet Recordings	Cheek To Cheek: The Complete Duet Recordings	https://music.apple.com/us/artist/ella-fitzgerald/73568?uo=4	https://music.apple.com/us/album/cheek-to-cheek-the-complete-duet-recordings/1359340014?uo=4	https://is1-ssl.mzstatic.com/image/thumb/Music122/v4/fd/a7/0c/fda70c9b-1e6a-8915-b8db-71f8456d034e/18UMGIM13490.rgb.jpg/60x60bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music122/v4/fd/a7/0c/fda70c9b-1e6a-8915-b8db-71f8456d034e/18UMGIM13490.rgb.jpg/100x100bb.jpg	39.99	notExplicit	75.0	A Verve Records release; ℗ 2018 UMG Recordings, Inc.	USA	USD	2018-04-06T07:00:00Z
collection		Louis Armstrong & Duke Ellington		518462	52456	Jazz		Album	695988623.0	The Great Summit: Complete Sessions (Deluxe Edition)	The Great Summit: Complete Sessions (Deluxe Edition)	https://music.apple.com/us/artist/louis-armstrong/518462?uo=4	https://music.apple.com/us/album/the-great-summit-complete-sessions-deluxe-edition/695988623?uo=4	https://is1-ssl.mzstatic.com/image/thumb/Music6/v4/47/c5/26/47c526c2-131f-4440-fc65-e47e10bbed51/724352454655.jpg/60x60bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music6/v4/47/c5/26/47c526c2-131f-4440-fc65-e47e10bbed51/724352454655.jpg/100x100bb.jpg	12.99	notExplicit	27.0	℗ 2000 Roulette Jazz (R) is a registered trademark of Parlophone Records Ltd. (P) 2000 Parlophone Records, Ltd.	USA	USD	1961-06-01T07:00:00Z
collection		Louis Armstrong		518462	52456	Jazz		Album	1744612374.0	Louis In London	Louis In London	https://music.apple.com/us/artist/louis-armstrong/518462?uo=4	https://music.apple.com/us/album/louis-in-london/1744612374?uo=4	https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/ab/db/de/abdbde5b-05cb-d9f5-d0ae-e27f1f987b53/24UMGIM48565.rgb.jpg/60x60bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/ab/db/de/abdbde5b-05cb-d9f5-d0ae-e27f1f987b53/24UMGIM48565.rgb.jpg/100x100bb.jpg		notExplicit	13.0	A Verve Records release; ℗ 2024 BBC, under license to Verve Label Group, a division of UMG Recordings, Inc.	USA	USD	2024-07-12T07:00:00Z
collection		Louis Armstrong		518462	52456	Jazz		Album	477023849.0	The Complete Hot Five & Hot Seven Recordings	The Complete Hot Five & Hot Seven Recordings	https://music.apple.com/us/artist/louis-armstrong/518462?uo=4	https://music.apple.com/us/album/the-complete-hot-five-hot-seven-recordings/477023849?uo=4	https://is1-ssl.mzstatic.com/image/thumb/Features/v4/a6/37/90/a6379001-6d78-77af-64a8-2d370390d345/dj.xhneepwy.jpg/60x60bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Features/v4/a6/37/90/a6379001-6d78-77af-64a8-2d370390d345/dj.xhneepwy.jpg/100x100bb.jpg	29.99	notExplicit	93.0	℗ Originally Released 1926, 1927 Courtesy of MCA Records under license from Universal Music Enterprises. Originally released 1925, 1926, 1927, 1928, 1929, 1937, 1940, 1941. All rights reserved by SONY BMG MUSIC ENTERTAINMENT, (P) 2000, 2006 SONY BMG MU	USA	USD	2000-08-22T00:00:00Z
collection		Bing Crosby & Louis Armstrong		25687	3094	Vocal		Album	716211198.0	Bing & Satchmo	Bing & Satchmo	https://music.apple.com/us/artist/bing-crosby/25687?uo=4	https://music.apple.com/us/album/bing-satchmo/716211198?uo=4	https://is1-ssl.mzstatic.com/image/thumb/Music4/v4/0b/b5/cd/0bb5cdde-b569-ede4-beff-798ae6c4b26f/05099968641757.jpg/60x60bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music4/v4/0b/b5/cd/0bb5cdde-b569-ede4-beff-798ae6c4b26f/05099968641757.jpg/100x100bb.jpg	9.99	notExplicit	12.0	This Compilation ℗ 2008 Capitol Records, LLC	USA	USD	1960-10-01T08:00:00Z
collection		Louis Armstrong & Oscar Peterson		518462	52456	Jazz		Album	1425262446.0	Louis Armstrong Meets Oscar Peterson (Expanded Edition)	Louis Armstrong Meets Oscar Peterson (Expanded Edition)	https://music.apple.com/us/artist/louis-armstrong/518462?uo=4	https://music.apple.com/us/album/louis-armstrong-meets-oscar-peterson-expanded-edition/1425262446?uo=4	https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/4c/df/15/4cdf155c-ad11-2f43-6c74-a02f1f3189a2/06UMGIM21256.rgb.jpg/60x60bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/4c/df/15/4cdf155c-ad11-2f43-6c74-a02f1f3189a2/06UMGIM21256.rgb.jpg/100x100bb.jpg	9.99	notExplicit	16.0	℗ 1985 The Verve Music Group, a Division of UMG Recordings, Inc.	USA	USD	1957-10-14T08:00:00Z
collection		Louis Armstrong & Earl Hines		518462	52456	Jazz		Album	194021777.0	Louis Armstrong, Vol. 4 - Louis Armstrong and Earl Hines	Louis Armstrong, Vol. 4 - Louis Armstrong and Earl Hines	https://music.apple.com/us/artist/louis-armstrong/518462?uo=4	https://music.apple.com/us/album/louis-armstrong-vol-4-louis-armstrong-and-earl-hines/194021777?uo=4	https://is1-ssl.mzstatic.com/image/thumb/Music/59/d9/83/mzi.kblbbpah.jpg/60x60bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music/59/d9/83/mzi.kblbbpah.jpg/100x100bb.jpg	9.99	notExplicit	18.0	℗ Originally Released 1928, 1929, 1941 SONY BMG MUSIC ENTERTAINMENT	USA	USD	1989-08-18T07:00:00Z
collection		Louis Armstrong		518462	52456	Jazz		Album	200036163.0	Satch Blows the Blues	Satch Blows the Blues	https://music.apple.com/us/artist/louis-armstrong/518462?uo=4	https://music.apple.com/us/album/satch-blows-the-blues/200036163?uo=4	https://is1-ssl.mzstatic.com/image/thumb/Music/a5/25/ed/mzi.gqvxatac.jpg/60x60bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music/a5/25/ed/mzi.gqvxatac.jpg/100x100bb.jpg	9.99	notExplicit	16.0	℗ Originally Released 1928, 1929, 1930, 1931, 1954 (P) 2002 Sony Music Entertainment Inc.	USA	USD	2002-07-26T07:00:00Z
collection		Louis Armstrong		518462	52456	Jazz		Album	171086591.0	The Great Chicago Concert 1956 - Complete	The Great Chicago Concert 1956 - Complete	https://music.apple.com/us/artist/louis-armstrong/518462?uo=4	https://music.apple.com/us/album/the-great-chicago-concert-1956-complete/171086591?uo=4	https://is1-ssl.mzstatic.com/image/thumb/Music/f9/91/5c/mzi.sehcvwqf.jpg/60x60bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music/f9/91/5c/mzi.sehcvwqf.jpg/100x100bb.jpg	16.99	notExplicit	26.0	℗ Originally Recorded 1956, Originally Released 1957, (P) 1980 Sony Music Entertainment Inc. WARNING: All rights reserved. Unauthorized duplication is a violation of applicable laws.	USA	USD	1957-01-01T08:00:00Z
collection		Ella Fitzgerald & Louis Armstrong		73568	6503	Jazz		Album	1442955474.0	Ella and Louis Again	Ella and Louis Again	https://music.apple.com/us/artist/ella-fitzgerald/73568?uo=4	https://music.apple.com/us/album/ella-and-louis-again/1442955474?uo=4	https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/ba/82/97/ba8297ec-91b4-b660-ce5c-7116a7bb7841/06UMGIM11030.rgb.jpg/60x60bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/ba/82/97/ba8297ec-91b4-b660-ce5c-7116a7bb7841/06UMGIM11030.rgb.jpg/100x100bb.jpg	11.99	notExplicit	19.0	A Verve Label Group Release; ℗ 1957 UMG Recordings, Inc.	USA	USD	1957-02-25T08:00:00Z
collection		Louis Armstrong		518462	52456	Jazz		Album	293785416.0	The Complete Hot Five and Hot Seven Recordings, Vol. 2	The Complete Hot Five and Hot Seven Recordings, Vol. 2	https://music.apple.com/us/artist/louis-armstrong/518462?uo=4	https://music.apple.com/us/album/the-complete-hot-five-and-hot-seven-recordings-vol-2/293785416?uo=4	https://is1-ssl.mzstatic.com/image/thumb/Music/7d/dc/fd/mzi.ksloftob.jpg/60x60bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music/7d/dc/fd/mzi.ksloftob.jpg/100x100bb.jpg	9.99	notExplicit	22.0	℗ Originally Released 1926, 1927, 1928, 1940, (P) 2003 Sony Music Entertainment Inc.	USA	USD	2003-04-11T07:00:00Z
collection		Louis Armstrong and His All-Stars		518462	52456	Jazz		Album	157407490.0	Ambassador Satch (Live in Europe 1955)	Ambassador Satch (Live in Europe 1955)	https://music.apple.com/us/artist/louis-armstrong/518462?uo=4	https://music.apple.com/us/album/ambassador-satch-live-in-europe-1955/157407490?uo=4	https://is1-ssl.mzstatic.com/image/thumb/Music/1e/ce/f7/mzi.qttnssoh.jpg/60x60bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music/1e/ce/f7/mzi.qttnssoh.jpg/100x100bb.jpg	9.99	notExplicit	13.0	℗ Originally Recorded 1955, Originally Released 1956 Sony Music Entertainment Inc.	USA	USD	1956-01-01T08:00:00Z
collection		Louis Armstrong		518462	52456	Jazz		Album	157384070.0	Super Hits	Super Hits	https://music.apple.com/us/artist/louis-armstrong/518462?uo=4	https://music.apple.com/us/album/super-hits/157384070?uo=4	https://is1-ssl.mzstatic.com/image/thumb/Music/55/c3/71/mzi.zacnbapu.jpg/60x60bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music/55/c3/71/mzi.zacnbapu.jpg/100x100bb.jpg	5.99	notExplicit	10.0	℗ Originally Released 1954,1957,1959,1967,1982, (P) 2000 Sony Music Entertainment Inc.	USA	USD	2000-01-07T08:00:00Z
collection		Louis Armstrong		518462	52456	Jazz		Album	158662145.0	The Essence of Louis Armstrong	The Essence of Louis Armstrong	https://music.apple.com/us/artist/louis-armstrong/518462?uo=4	https://music.apple.com/us/album/the-essence-of-louis-armstrong/158662145?uo=4	https://is1-ssl.mzstatic.com/image/thumb/Music/bb/cf/af/mzi.gakaqpoc.jpg/60x60bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music/bb/cf/af/mzi.gakaqpoc.jpg/100x100bb.jpg	9.99	notExplicit	12.0	℗ 1991 Sony Music Entertainment Inc.	USA	USD	1991-10-11T07:00:00Z
collection		Louis Armstrong		518462	52456	Jazz		Album	293785410.0	The Complete Hot Five and Hot Seven Recordings, Vol. 3	The Complete Hot Five and Hot Seven Recordings, Vol. 3	https://music.apple.com/us/artist/louis-armstrong/518462?uo=4	https://music.apple.com/us/album/the-complete-hot-five-and-hot-seven-recordings-vol-3/293785410?uo=4	https://is1-ssl.mzstatic.com/image/thumb/Music/f5/98/ee/mzi.msdeqxjz.jpg/60x60bb.jpg	https://is1-ssl.mzstatic.com/image/thumb/Music/f5/98/ee/mzi.msdeqxjz.jpg/100x100bb.jpg	9.99	notExplicit	22.0	℗ Originally Released 1928, 1929, 1940, (P) 2003 Sony Music Entertainment Inc.	USA	USD	2003-04-11T07:00:00Z
